,name,city,avg_price,phone,address,review_count,star,url
13089,申聚园,上海,¥117/人,,杨高南路5885号,433.0,4.0,http://www.dianping.com/shop/5581544
178915,沙县美食,上海,,15000870836,马陆镇崇文路1200号,0.0,0.0,http://www.dianping.com/shop/112244237
177549,洁妮的民宿,上海,¥418/人,13816822617,江宁路1145弄圣天地服务式公寓,0.0,3.5,http://www.dianping.com/shop/112017763
124253,BiJou,上海,,,胶州路635号,1.0,3.0,http://www.dianping.com/shop/93343202
187997,宋记香辣蟹,上海,,17693396907,泾惠路8号,1.0,3.5,http://www.dianping.com/shop/121473890
173506,伙房锅皇,上海,¥63/人,63307725,人民路外滩国际金融中心BFCB2,36.0,3.0,http://www.dianping.com/shop/110720053
19562,明德葡萄园,上海,,15001972317,南刘路2609号,3.0,3.5,http://www.dianping.com/shop/11551992
103876,食品自建食品商店,上海,,,大连路975弄-11号,0.0,0.0,http://www.dianping.com/shop/79033900
25753,漕盈路菜市场,上海,,,盈港路1755弄208号,7.0,3.5,http://www.dianping.com/shop/15011396
188475,阿布都烤羊肉,上海,,,沪太路593号,0.0,0.0,http://www.dianping.com/shop/121678715
68999,正新鸡排,上海,¥13/人,13914656616,合庆镇东川公路与庆荣路交叉口,296.0,3.5,http://www.dianping.com/shop/58736809
114211,蔬菜,上海,,13918474950,嘉川路756号,0.0,0.0,http://www.dianping.com/shop/90452290
86067,浪子猪排,上海,,,庙前街24-26号附近,1.0,3.0,http://www.dianping.com/shop/68749818
124574,银菓子西饼屋,上海,¥26/人,13917431753,地铁三号线虹口足球场站4号口地铁站内闸机口旁,121.0,3.5,http://www.dianping.com/shop/93416840
49090,一点点,上海,¥18/人,64060115,申长路900号虹桥天地北区2号办公楼L1-07,556.0,5.0,http://www.dianping.com/shop/24599039
190220,迪迪拉面,上海,,,三泉路30号,0.0,0.0,http://www.dianping.com/shop/122211354
96539,顶顶鲜水果大卖场,上海,,15201728187,桃浦路1663号,1.0,3.5,http://www.dianping.com/shop/74821048
180374,心巧食品店,上海,,,乐秀路327号,0.0,0.0,http://www.dianping.com/shop/112805933
185666,滨果园,上海,,18602112330,同普路1412号1号楼101,0.0,0.0,http://www.dianping.com/shop/114792074
98206,妙生鲜,上海,,15711631820,金鼎路1820号金鼎农贸市场30号摊位,0.0,0.0,http://www.dianping.com/shop/76720594
93721,阿香米线,上海,¥41/人,17721115610,肇嘉浜路1111号美罗城B区2层2-10B2-11A,483.0,3.5,http://www.dianping.com/shop/72336310
38664,永和豆浆,上海,¥20/人,33657757,南桥镇定康路,40.0,3.0,http://www.dianping.com/shop/19590246
