,name,city,address,cuisine,phone,lat,lon,rating,reviews_nr,url,source,website
4431,"The Village Street Food Bar, Eindhoven",Eindhoven,"Jan Van Lieshoutstraat 9,Eindhoven,North Brabant Province,5611 EE",International;Pub;Street Food,+31 40 237 5374,51.43814,5.479849,4.5,56,https://www.tripadvisor.com/Restaurant_Review-g188582-d11864309-Reviews-The_Village_Street_Food_Bar-Eindhoven_North_Brabant_Province.html,tripadvisor,http://www.thevillageeindhoven.nl/
30046,"Sweet Little Bakery, Hasselt",Hasselt,"Paardsdemerstraat 1,Hasselt,Flanders,3500",Cafe,+32 475 93 19 15,50.9319,5.33829,4.0,2,https://www.tripadvisor.com/Restaurant_Review-g188650-d13216540-Reviews-Sweet_Little_Bakery-Hasselt_Limburg_Province.html,tripadvisor,https://www.facebook.com/sweetlittlebakery1/?ref=py_c
36444,"Bugaz, Dinslaken",Dinslaken,"Gerhard-Malina-Str. 2 Neben Edeka,Dinslaken,North Rhine-Westphalia,46537",Grill;Street Food,+49 2064 15814,51.567062,6.74492,4.0,4,https://www.tripadvisor.com/Restaurant_Review-g983809-d14059099-Reviews-Bugaz-Dinslaken_North_Rhine_Westphalia.html,tripadvisor,http://www.bugaz.eu
27613,"Bistro De Molen, Ostend",Ostend,"Stenedorpstraat 4,Ostend,Flanders,8400",French;Belgian;European,+32 468 26 74 68,51.20225,2.914722,4.5,33,https://www.tripadvisor.com/Restaurant_Review-g188672-d7223103-Reviews-Bistro_De_Molen-Ostend_West_Flanders_Province.html,tripadvisor,http://www.bistrodemolen.be/#contact
5798,"Cafe 'T Centrum van melzen, Leiden",,"Nieuwe Beestenmarkt, 13-15,,South Holland Province,2312 CG",Dutch;European,+31 71 512 4320,52.16334,4.486331,4.0,7,https://www.tripadvisor.com/Restaurant_Review-g188630-d12273441-Reviews-Cafe_T_Centrum_van_melzen-Leiden_South_Holland_Province.html,tripadvisor,http://www.melzen.nl
10161,"Padron Streetfood, Amsterdam",Amsterdam,"Bellamyplein 51 Foodhallen,Amsterdam,North Holland Province,1053 AT",Healthy;Street Food;Vegetarian Friendly,+31 6 81530113,52.366947,4.868137,4.5,13,https://www.tripadvisor.com/Restaurant_Review-g188590-d10911149-Reviews-Padron_Streetfood-Amsterdam_North_Holland_Province.html,tripadvisor,http://www.padron.nl
3670,"Hayai Sushi, Utrecht",Utrecht,"Poortstraat 35,Utrecht,Utrecht Province,3572 HC",Japanese,+31 30 303 0674,52.09694,5.13419,2.0,7,https://www.tripadvisor.com/Restaurant_Review-g188616-d15049742-Reviews-Hayai_Sushi-Utrecht.html,tripadvisor,http://www.hayaisushi.nl
10494,"Olivity, Amsterdam",Amsterdam,"Overtoom 239/1054 HV,Amsterdam,North Holland Province,1054 HV",Mediterranean;Greek;Vegetarian Friendly,+31 6 43177443,52.361,4.868697,5.0,29,https://www.tripadvisor.com/Restaurant_Review-g188590-d7233222-Reviews-Olivity-Amsterdam_North_Holland_Province.html,tripadvisor,http://www.olivity.net/
2801,"Restaurant Alexander, The Hague",,"Denneweg 138 Mauritskade,,South Holland Province,2514 CL",International;European;Vegetarian Friendly,+31 70 364 8175,52.08618,4.311611,4.0,245,https://www.tripadvisor.com/Restaurant_Review-g188633-d1800890-Reviews-Restaurant_Alexander-The_Hague_South_Holland_Province.html,tripadvisor,http://www.restaurant-alexander.nl
19443,"Oecher Eis-Treff, Aachen",Aachen,"Bismarckstr. 72,Aachen,North Rhine-Westphalia,52066",Dessert;Vegetarian Friendly;Vegan Options,+49 241 94377696,50.76871,6.104503,5.0,61,https://www.tripadvisor.com/Restaurant_Review-g187367-d4605010-Reviews-Oecher_Eis_Treff-Aachen_North_Rhine_Westphalia.html,tripadvisor,http://www.eis-treff.de
