,author_collect_nr,author_fans_nr,author_name,author_note_nr,comment_nr,content,datePublished,images,like_nr,star_nr,title,url,user_url
1799,30.7万,6.9万,哒哒辛,882.0,42.0,比爱情更长久的陪伴是小黑瓶🥰▫️几年前刚开始用兰蔻小黑瓶的时候，并没有多做考虑，就觉得它是一款✅清爽✅不致痘✅吸收快✅修复力佳（抠破的痘痘回复特别快且不留痘印）的精华液，毕竟市面上油皮用起来也没有负担的精华并不多见。▫️后来皮肤稳定下来，没那么容易长痘痘了，逐渐变成混合皮，两颊偶尔干燥脱皮，就开始有更多的诉求，例如保湿、细致毛孔、均匀肤色……这个时候我发现了小黑瓶的另一个功能，就是✅🖋万能肌底液。因为成分的安全和稳定性，尝试过搭配各种产品都不会冲突。▫️随着年龄的增长，眼周出现了干纹，皮肤没那么饱满了。刚好看到兰蔻提出了从肌底抗老的理论，年轻的皮肤首先就应该有健康的肌底。一直以来我都忽视了它的核心成分二裂酵母发酵产物和酵母提取物的作用，✅可以修护肌底，✅促进胶原蛋白新生，✅加速角质代谢。难怪长期使用下来，感觉皮肤更加饱满透亮，老废角质代谢掉，也更平滑了。❤️随着肤质的变化，见证了小黑瓶的各种功能🥰，比男朋友还要懂我。抗老是个持久战，成本也不低，不过兰蔻新出了🔎15天肌底修护礼盒，只要买一瓶小黑瓶，不论大小，都会送一个体验礼盒，包括一个清滢柔肤水、一个发光眼霜、一片小嫩膜面膜，全都是明星产品，提供15天“危肌管理”。特别适合熬夜写论文后皮肤暗沉粗糙的时候做一个密集修护。还有清明节假期就要到了，哪个妹子不想在出游、聚会的时候容光焕发，做全场最亮的崽儿。快去买它，好吗。,2019-03-26T19:29:00,"['https://ci.xiaohongshu.com/828653dd-5571-32e3-8185-5937913cc350?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90', 'https://ci.xiaohongshu.com/b17a70ac-3cda-57dc-a644-1af0daf7c671?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90', 'https://ci.xiaohongshu.com/ba506b2a-f03a-5ba6-aa45-daa8d08cf841?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90', 'https://ci.xiaohongshu.com/17c24060-9a2b-500e-aede-d485dd682fa8?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90', 'https://ci.xiaohongshu.com/af1e3614-c797-5db2-8442-aed15e20bf86?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90', 'https://ci.xiaohongshu.com/3a88f4a7-2f98-5d87-a017-8e72a3f4f98e?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90', 'https://ci.xiaohongshu.com/42150afe-5583-5596-a9e7-5c0c6480b94a?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90', 'https://ci.xiaohongshu.com/a4e9e76a-62c5-5a8c-a867-42293a9b381b?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90', 'https://ci.xiaohongshu.com/f74d079b-830e-566b-aa9e-bf1e7529683c?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90']",275,229,比爱情更长久的陪伴是小黑瓶🥰 几年前刚开始用兰蔻小黑瓶的时候,https://www.xiaohongshu.com/discovery/item/5c9a0d0e000000000f025c22,https://www.xiaohongshu.com/user/profile/52e7680db4c4d646049bb531
2133,7489,411,Ellen阿欣,13.0,37.0,各位小红书宝宝我又来啦～💓今天给大家分享几款我自己用过真的有一直回购的平价肌底液精华😊‼️本人敏感干皮，脸上容易泛红血丝，鼻翼两侧略出油☺️look1👉TAKAMI小蓝瓶肌底精华液这款肌底液是之前上大学我一个室友推荐的，让我一定要买来试试🥰第一次买了一瓶，连续用了一周，真的有感觉毛孔变小！！！皮肤变得很细腻！真的爱上了💕💕💕马上又囤了2瓶，陆续用完之后决定终身回购🙂小伙伴们真的要试试，你会惊艳用法：在洗完脸第一步，它的滴管有一条刻度线，每次就刻度线的位置一滴管，早晚用～look2👉 DERMINA/欧敏肤美白肌底液精华液这款肌底液是一个法国的小众品牌，无任何香料添加剂成分👏之前无意间一个美妆博主推荐😸价格也很奶思～我就抱着买回来试试的心态，结果让我很满意💥真的有提亮肤色！改善暗沉啊❤️因为它成分里面含有光果甘草根提取物和VC衍生物等，而且市面上很多美白产品不太适合敏感肌，这款完全不用担心用法：用在护肤第一步、我每次用7-8滴（完全不肉痛）look3👉科颜氏淡斑精华液这款美白精华我之前是搭配takami美容液使用的😄使用感很不错，不油腻好吸收，均匀肤色的效果还是比较明显哦～尽量晚上使用，早上使用一定做好防晒🌞里面含有牡丹精萃植物抗氧化成分，总之一瓶用下来感觉脸上斑点有淡化～会考虑回购🧐用法：水之后，乳之前，每次一滴管左右（用量要足够哦😸）look4👉欧莱雅雪颜科研美白淡斑精华这款平价替代小灯泡被种草了很久😍上次朋友去泰国就让她帮我带了两瓶，泰国价格钱，超级无敌划算，两瓶好像不到两百😝使用感也还不错，有均匀肤色效果，目前还没有看到淡斑效果哦，不过想要改善肤色暗沉的学生党们可以试试哦～用法：水之后乳之前哦～用量4-5滴左右吧look5👉彼得罗夫角鲨烷本人干皮，之前普及到皮肤干就是水油不平衡哦～所以除了补水还需要补油‼️这款角鲨烷用法也蛮多🤞使用感也很不错👍吸收很快，单涂稍微有点油，但能接受哦💕用法：我一般加在精华或者面霜里，涂粉底液也可以滴2-3滴～look6👉欧莱雅青春密码酵素面部黑精华液平价小黑瓶替代肌底液，也是朋友在泰国一起帮我带的两瓶，主要价格美丽🌻总体感觉补水效果很不错👍也是洗完脸第一步哦look7👉DR.WU杏仁酸换肤精华液这款去黑头闭口有一定的效果，水之后用，用完补水一定做好，第二天防晒也必须到位～会回购❤️,2019-04-29T18:01:00,"['https://ci.xiaohongshu.com/b79e9237-36f3-566d-808f-bddacecf440f?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90', 'https://ci.xiaohongshu.com/220ae288-6ebf-51cb-9ae8-f09a88b97335?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90', 'https://ci.xiaohongshu.com/306e9538-b8bc-52c5-adbc-4d1ef6de6449?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90', 'https://ci.xiaohongshu.com/9aad351f-4332-53e8-8dd0-4da330a28855?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90', 'https://ci.xiaohongshu.com/f200eec9-d1be-56ba-a635-2fa6e2addae3?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90']",121,122,空瓶亲测‼️20岁女生🖤学生党平价精华肌底液,https://www.xiaohongshu.com/discovery/item/5cc6cb66000000000d019732,https://www.xiaohongshu.com/user/profile/5c3312bf000000000503fc62
2801,43,19,糖Mo,17.0,1.0,这应该是第三瓶红腰子啦！不知道是不是心理作用还是真的有效果，以前换季总是会过敏脸红刺痒。然后用过这个之后，很平稳的度过了换季的时候。而且现在换季也没有明显的感觉了。现在已经不用了，但是真的觉得挺好的。,2019-06-10T22:18:00,['https://ci.xiaohongshu.com/59b999eb-4353-3fff-9daa-54fe95be0f02?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90'],2,1,资生堂红腰子精华,https://www.xiaohongshu.com/discovery/item/5cfe66b40000000028013198,https://www.xiaohongshu.com/user/profile/5a7f83dce8ac2b5b2ff0130c
1917,65,9,六月,45.0,1.0,雅诗兰黛小棕瓶➕兰蔻肌底精华液绝配的一对[偷笑]👉👉睡前各一滴管，把我们的熬夜肌修复得好好的。第二天皮肤水嫩弹滑，上妆服服帖帖，熬夜后遗症全部消失。效果真是赞啊,2019-04-06T22:23:00,['https://ci.xiaohongshu.com/c6ebe0c1-b2fc-56f8-9556-875b2fa0665f?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90'],4,0,雅诗兰黛小棕瓶➕兰蔻肌底精华液绝配的一对 👉👉睡前各一滴管，把我们的熬夜肌修复得好好的。,https://www.xiaohongshu.com/discovery/item/5ca8b665000000000d0317df,https://www.xiaohongshu.com/user/profile/584ae8b582ec394f49afefa3
1648,91,61,🐳肥鸭,60.0,0.0,❤️兰蔻 小黑瓶肌底液 50ML 575 着重的推荐一下  因为肌底液真的是超级好用的一款自用好几瓶了已经   😂 因为我用东西比较费 但是没有它 精华真的是不好吸收  你要买几千的精华 真就别差这几百的肌底液 ✨ 国内专柜1080,2019-03-13T11:53:00,['https://ci.xiaohongshu.com/bfbb2d6c-0a2e-56a2-96ab-dc1dc74fbe0c?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90'],0,0,❤️兰蔻 小黑瓶肌底液 50ML 575 着重的推荐一下,https://www.xiaohongshu.com/discovery/item/5c887ec9000000000e03045e,https://www.xiaohongshu.com/user/profile/569655591c07df39b1a7d8e8
3825,9,3,妮妮,4.0,2.0,本人混油皮，黄二白，肤色有些不均我就说说我的感受吧， 其他的专业知识小红薯们自行了解哈小黑瓶我已经用了3瓶了，第一次也是在小红书上种草的，使用后简直不要太爱，清爽不油腻好吸收，我是作为肌底液来用的，后面叠加其他精华 ，促进吸收能力不是一般的好，现在我必须用它才有满满的安全感，提亮肤色抗初老的效果在线，夏天可以单独用淡斑小白瓶现在用了第二瓶，也快完了，前面我也说了我的皮肤状态，用了它真的改变了不少，我看其他笔记都说会长毛，但我不会耶，刚开始我也怕长胡子啥的，使用很小心，后面我用了二个多月也没见长，就大胆的用在嘴周附近，没想到我嘴周黑的这个情况有改善，夏天和小黑瓶一起超配，反正是我的最爱啦 最后...提醒小红薯们，护肤品都是甲之蜜糖，乙之砒霜,2019-06-30T11:32:00,"['https://ci.xiaohongshu.com/438069dc-6ed6-3757-a571-b4595f9ec25f?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90', 'https://ci.xiaohongshu.com/5e54572f-1b6f-3e76-b988-5dbd405302c8?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90']",5,0,☞欧莱雅小黑瓶肌液  olay pro-x淡斑小白瓶,https://www.xiaohongshu.com/discovery/item/5d182d4b00000000260262c5,https://www.xiaohongshu.com/user/profile/5d1072ad0000000011033368
2964,13,17,可爱宝贝的麻麻,6.0,0.0,忘了哪次出国玩的时候经过上海浦东日上免税店买的，100毫升的小棕瓶，真的还蛮耐用的从去年七月陆陆续续用到今天用完，中间偶尔也用用兰蔻和娇韵诗的精华。毕竟100毫升的，才能用这么久。不过，用了这么久，也没有网上有人说的字体掉色的问题，印刷还是很坚固的哈😊小棕瓶维稳效果不错，快用完的时候就火急火燎到处问朋友短期内有没有出国的，后来总算有一瓶备着才安心了。明天开封新的一瓶咯～,2019-06-16T03:01:00,"['https://ci.xiaohongshu.com/0c11f4cd-fa93-3a09-8576-2c5ce857e722?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90', 'https://ci.xiaohongshu.com/cee982f8-d1c9-32a3-952b-2b4ea4e5e74b?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90']",0,1,第一瓶用完的小棕瓶,https://www.xiaohongshu.com/discovery/item/5d05409b00000000270085b0,https://www.xiaohongshu.com/user/profile/5acdad2e4eacab2abae4292c
3668,19,3,臭美的妞,9.0,1.0,套装内含：小黑瓶精华50ml+眼唇卸妆液30ml+小黑瓶日霜15ml+眼霜5ml小黑瓶可以说是无人不知无人不晓了吧，小黑瓶也可以说是肌底液这个概念的代表之作了，作为一个前导精华，小黑瓶可以帮助改善肌肤干燥、细纹粗糙等3大问题，坚持使用可以明显感受到皮肤变细腻，2大酵母精华深入肌底修护，后续护肤效果加乘！修护效果也很棒哦。要变美的美眉可以约起来咯！,2019-06-29T12:02:00,['https://ci.xiaohongshu.com/7f9e7bb0-609a-3ee7-977f-acba41d1a76f?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90'],0,0,Lan*蔻 小黑瓶护肤套装,https://www.xiaohongshu.com/discovery/item/5d16e2e4000000002602ec76,https://www.xiaohongshu.com/user/profile/5b7bdeabd458070001d67d2b
2183,14,0,小言台湾go,25.0,0.0,【资生堂红腰子精华】维稳皮肤能力一把手！突然爆痘、两颊泛红血丝等皮肤状态不稳定的时候，用会让皮肤马上恢复平和的状态，补水保湿更是值得表扬啦~,2019-05-04T20:02:00,['https://ci.xiaohongshu.com/44365ad3-6dee-52ed-b2dd-78ec1e1bf44e?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90'],2,0,【资生堂红腰子精华】,https://www.xiaohongshu.com/discovery/item/5ccd7f3e000000000e01d92d,https://www.xiaohongshu.com/user/profile/57c23b746a6a691a7f72954a
880,231,104,A-茱莉💍julia,20.0,58.0,精华篇！最爱的是雅诗兰黛and 资生堂红腰子 再来是黛珂，其次娇韵诗不过cpb的手榴弹也是很不错的，用来做肌底液兰蔻么就是最让我觉得费解的一款，个人觉得非常一般啦，也许肤质不同真的有关系,2018-10-30T14:43:00,['https://ci.xiaohongshu.com/380e1d27-0e6b-50ad-9d6d-114486f20a14?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90'],74,43,精华篇！ 最爱的是雅诗兰黛and 资生堂红腰子 再来是黛珂，其次娇韵诗,https://www.xiaohongshu.com/discovery/item/5bd7fdaf910cf6315f68a6b6,https://www.xiaohongshu.com/user/profile/56cf9241aed7583f5832909c
